"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Poll Votes","Tags"
"2/28/2024 9:32 am","203472453481923_1193188155065229","Facebook","Post","Video","PDF Expert"," ","https://www.facebook.com/817852325932149/posts/1193188155065229","📖 🤔  The go-to app for iPad reading? You guessed it right. PDF Expert offers a delightful reading journey. 

Here are 7 tips to enhance the reading experience on your iPad with PDF Expert 🔖","https://www.facebook.com/817852325932149/videos/7344638355617859","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/28/2024 9:29 am","203472453481923_1193186771732034","Facebook","Post","Video","PDF Expert"," ","https://www.facebook.com/817852325932149/posts/1193186771732034","📖 🤔  The go-to app for iPad reading? You guessed it right. PDF Expert offers a delightful reading journey. 

Here are 7 tips to enhance the reading experience on your iPad with PDF Expert 🔖","https://www.facebook.com/817852325932149/videos/904451118135143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/28/2024 9:24 am","203472453481923_1193184998398878","Facebook","Reel","Video","PDF Expert"," ","https://www.facebook.com/817852325932149/posts/1193184998398878","📖 🤔  The go-to app for iPad reading? You guessed it right. PDF Expert offers a delightful reading journey. 

Here are 7 tips to enhance the reading experience on your iPad with PDF Expert 🔖","https://www.facebook.com/reel/784247963755435/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/26/2024 3:24 pm","203472453481923_1192108238506554","Facebook","Post","Text","PDF Expert"," ","https://www.facebook.com/817852325932149/posts/1192108238506554","📱💡 Unlock the full potential of your iPad with PDF Expert! Besides note-taking, it provides options to create PDFs from photos, scan documents, merge files, and much more. 

Bookmark this guide and discover all the tips 🧐https://pdfexpert.com/blog/how-to-take-notes-on-ipad",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/20/2024 6:11 pm","1759989225062060345","X","Post","Text","'@PDFExpert_"," ","https://twitter.com/PDFExpert_/status/1759989225062060345","""If you make a lot of use of PDFs and haven't yet come across PDF Expert, you really should give it a try — it's an outstanding PDF editor for Apple devices and now includes the company's beta AI Chat application.""

Big thanks to @jonnyevans_cw for highlighting PDF Expert's…",,"","","","","","","3,988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/20/2024 6:11 pm","1759989175221100568","X","Post","Text","'@PDFExpert_"," ","https://twitter.com/PDFExpert_/status/1759989175221100568","""If you make a lot of use of PDFs and haven't yet come across PDF Expert, you really should give it a try — it's an outstanding PDF editor for Apple devices and now includes the company's beta AI Chat application.""

Big thanks to @jonnyevans_cw for highlighting PDF Expert's…",,"","","","","","","3,988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/15/2024 4:06 pm","1758145787563814964","X","Post","Link","'@PDFExpert_"," ","https://twitter.com/PDFExpert_/status/1758145787563814964","📝 Elevate your iPad note-taking with PDF Expert!  

Draft to-do lists, capture book impressions, scan documents, merge files, sync with cloud storage, and more. Dive into our blog for the full guide 📲💡https://t.co/ycmsT1rGjI","https://pdfexpert.com/blog/how-to-take-notes-on-ipad","","","","","","","3,983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/15/2024 11:06 am","1758070264221356375","X","'@Reply","Video","'@PDFExpert_"," ","https://twitter.com/PDFExpert_/status/1758070264221356375","'@SS2_spacewrench 😉 We're glad you appreciated our hard work! https://t.co/bVrZq5K7dh","https://twitter.com/PDFExpert_/status/1758070264221356375/photo/1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/14/2024 4:56 pm","203472453481923_1184170335967011","Facebook","Post","Photo","PDF Expert"," ","https://www.facebook.com/photo.php?fbid=1184170335967011&set=a.817849129265802&type=3","","https://www.facebook.com/photo.php?fbid=1184170335967011&set=a.817849129265802&type=3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/14/2024 4:56 pm","203472453481923_1184170232633688","Facebook","Post","Photo","PDF Expert"," ","https://www.facebook.com/photo.php?fbid=1184170232633688&set=a.817849129265802&type=3","","https://www.facebook.com/photo.php?fbid=1184170232633688&set=a.817849129265802&type=3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/14/2024 4:56 pm","203472453481923_1184170732633638","Facebook","Post","Photo","PDF Expert"," ","https://www.facebook.com/photo.php?fbid=1184170732633638&set=a.817849129265802&type=3","","https://www.facebook.com/photo.php?fbid=1184170732633638&set=a.817849129265802&type=3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/14/2024 4:56 pm","203472453481923_1184170442633667","Facebook","Post","Photo","PDF Expert"," ","https://www.facebook.com/photo.php?fbid=1184170442633667&set=a.817849129265802&type=3","","https://www.facebook.com/photo.php?fbid=1184170442633667&set=a.817849129265802&type=3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/1/2024 5:24 pm","203472453481923_1174944680222910","Facebook","Post","Video","PDF Expert"," ","https://www.facebook.com/817852325932149/posts/1174944680222910","📱✨ Ready to unlock new dimensions of productivity with PDF Expert?

Stay tuned for some exciting news tomorrow 🤫","https://www.facebook.com/817852325932149/videos/1552394535512624","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/30/2024 5:24 pm","1752367274176942159","X","Post","Link","'@PDFExpert_"," ","https://twitter.com/PDFExpert_/status/1752367274176942159","🌟 Meet Giorgia Calvi, TikTok vlogger with 40k followers, our second guest in Sustainable Productivity Talks!

On her vlog, she shares aesthetically-pleasing learning videos, and motivates her audience to romanticize studying 📚

🔗 Read her story here:
https://t.co/Fw5T0QynP5","http://pdfexpert.com/blog/user-story-giorgia","","","","","","","3,967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/30/2024 5:24 pm","1752367204102705534","X","Post","Link","'@PDFExpert_"," ","https://twitter.com/PDFExpert_/status/1752367204102705534","🌟 Meet Giorgia Calvi, TikTok vlogger with 40k followers, our second guest in  Sustainable Productivity Talks!

On her vlog, she shares aesthetically-pleasing learning videos, and motivates her audience to romanticize studying. 📚

🔗 Read her story here: 
https://t.co/Fw5T0QynP5","http://pdfexpert.com/blog/user-story-giorgia","","","","","","","3,967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/23/2024 12:15 pm","1749752811196203511","X","Post","Photo","'@PDFExpert_"," ","https://twitter.com/PDFExpert_/status/1749752811196203511","‘Ideal for those who are PDF-hungry.’

Beautifully said, @FrancescoD_Ales! Thank you for sharing your wisdom with us and being our first guest on Sustainable Productivity Talks.💡

🔗 Dive into the full interview: https://t.co/yLHEnbA70L https://t.co/fiFZfwI8zM","http://pdfexpert.com/blog/user-story-francesco, https://twitter.com/PDFExpert_/status/1749752811196203511/photo/1","","","","","","","3,959","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/22/2024 12:11 pm","1749389434020127036","X","'@Reply","Text","'@PDFExpert_"," ","https://twitter.com/PDFExpert_/status/1749389434020127036","'@Novacula_Occami Hello! Nice to hear your feedback about AI Chat 👋N N",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/17/2024 1:16 pm","1747593786828468652","X","'@Reply","Text","'@PDFExpert_"," ","https://twitter.com/PDFExpert_/status/1747593786828468652","Enjoy and stay tuned for more – this is just the beginning! 📖",,"","","","","","","3,955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/17/2024 1:13 pm","1747592974223995127","X","'@Reply","Text","'@PDFExpert_"," ","https://twitter.com/PDFExpert_/status/1747592974223995127","*Sustainable productivity is the ability to maintain high levels of efficiency without compromising your well-being 🧘🔋",,"","","","","","","3,955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/17/2024 1:12 pm","1747592726114177479","X","Post","Link","'@PDFExpert_"," ","https://twitter.com/PDFExpert_/status/1747592726114177479","As 2024 kicks in, we're launching Sustainable Productivity Talks to set the right tone for the year 🌱

Our first guest, @FrancescoD_Ales, founder of @toolfinderHQ, shares his productivity tips, insights on work/life balance, and must-have apps 🌟

https://t.co/yLHEnbA70L","http://pdfexpert.com/blog/user-story-francesco","","","","","","","3,955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1/11/2024 10:55 am","1745383862505463968","X","Post","Video","'@PDFExpert_"," ","https://twitter.com/PDFExpert_/status/1745383862505463968","We're absolutely delighted to unwrap the BETA version of our AI Chat on iOS! 🎉

It’s available to users with a PDF Expert Premium subscription or users starting a Free Trial. Check out the quick start tutorial and give it a go 📱

🔗 https://t.co/aqU3LwPsmV https://t.co/2cQqLb9KXS","http://apple.co/4aRjBuU, https://twitter.com/PDFExpert_/status/1745383862505463968/video/1","","","","","","","3,949","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
